English,Urdu
i am ready to start,میں کھانسی کر رہا تھا
i was coughing,وہ ایک عورت سے نفرت کرنے والا ہے
he is a woman hater,میں مرنے سے ڈرتا ہوں
i am afraid of dying,آپ بہت مصروف نظر آتے ہیں
you seem very busy,میں صبح سے باہر ہوں
i have been out since morning,ہمیں ٹام کی پیروی کرنی چاہئے
we must follow tom,میں آپ کو اس پر اعتراض دیکھوں گا
i'll see you mind it,یہ دلچسپ لگتا ہے
it seems interesting,زین نے مجھے جواب نہیں دیا
zain didnt answer me,مجھے آپ سے پیار ہے
mary i love you,زین نے بات کی
zain talked,میں تم سے بہت محبت کرتا ہوں
i love you a lot,ایسا مت کیجیے۔
don’t do this,فرانسیسی میری مادری زبان ہے۔
french is my mother tongue,میرے پاس سرخ سائیکل ہے
i have a red bicycle,میں ٹام کو ووٹ دے سکتا ہوں
i might vote for tom,یہ قریبی مقابلہ تھا
it was close competition,وہ اچھی کارکردگی کا مظاہرہ کر رہا ہے
he is doing well,وہ ہمیں جانتا ہے لگتا ہے
he seems to know us,کیا یہ فن ہے
is this art,اس نے مجھے کھود دیا
she ditched me,کیا ہم تیار ہیں
are we prepared,میں آپ کے بارے میں پاگل ہوں
i am crazy about you,یہ فرانسیسی نہیں ہے
this isnt french,تم صرف خوش قسمت ہو گیا
you just got lucky,آپ مشمول نظر آتے ہیں
you look content,زین ایک پسندیدہ آدمی
zains a likable guy,زین مریم پر بھروسہ کر سکتا ہے
zain can trust mary,کسی بھی وقت
anytime,آپ تبدیل کر دیا ہے
youve changed,ہم نے ایک مشکل وقت گزارا
we had a rough time,میں ایک نئی کار کی ضرورت ہے
i need a new car,میں جنونی نہیں ہوں
i am not a fanatic,یہ جوتا بہت تنگ ہے
this shoe is very tight,یہ مرغی ہے
thats chicken,زین بھی گھبرا گیا ہے
zain is nervous too,میں اس کے بعد کھاؤں گا
i will eat after that,زین دروازے کا جواب دیں
zain answer the door,کیا یہ فروخت کے لئے ہے
is this for sale,میں کھا سکتا ہوں
can i eat,میں آپ کو کیوں نہیں دیکھ سکتا
why cant i see you,زین کی شادی ہو گئی
zain got married,توجہ مرکوز کرنے کی کوشش کریں
try to concentrate,وہ اس کے ساتھ کھڑی تھی
she stood by him,آپ کیا سوچتے ہیں
what do you think,زین نے مجھے مارا
zain beat me up,وہ ایک یس مین ہے
he is a yesman,مجھے بہت سردی محسوس ہوتی ہے
i feel so cold,خوش کرنا
cheer up,مجھے گلے لگاؤ
hug me,ہر کوئی حیران رہ گیا
everyone was shocked,آپ کا وزن بڑھ گیا ہے
youve gained weight,میرے ہاتھ بندھے ہوئے ہیں
my hands are tied,وہ کوکیز بنا رہا ہے
he is making cookies,بھاگ جائو۔
beat it,متعلقہ زین
zains concerned,چھوٹی چھوٹی باتوں پر جھگڑا نہ کریں
dont quarrel over trifles,زین نے بہت زیادہ بات کی
zain talked too much,جنہوں نے کرااوکے ایجاد کیا
who invented karaoke,وہ گرم پانی میں ہے
he is in hot water,یہ ایک نیا ماڈل ہے
this is a new model,شیر مارا گیا
the tiger was killed,کھڑے نہ ہوں
dont stand up,میرے بارے میں مت بھولو
dont forget about me,اس نے وکالت کی تربیت حاصل کی ہے۔
he was trained as a lawyer,یہ چوری ہے
this is plagiarism,میں پہلے جاؤں
may i go first,میں تقریبا بلیک آؤٹ
i nearly blacked out,میں نے ایک عظیم رات گزاری
i had a great night,میں تنہا محسوس کیا
i felt lonely,توجہ دیں
be attentive,ہم جانا ہے
we have to go,میں عام طور پر جھوٹ نہیں بولتا
i dont normally lie,وہ اس لیب میں کام کرتا ہے
he works in that lab,یہ ہم کریں گے
its we will done,ہم کچھ بھی نہیں کی کمی ہے
we lack nothing,آپ پارٹی کی طرف بھاگتے ہیں
you run to the party,مجھے اس کے گھر کا پتہ معلوم ہے، مگر یہ ایک راز ہے۔
"i know his address, but it's a secret",آپ کہاں تھے؟
where were you,جیسا کہ آپ جانتے ہیں، میرے پاس زیادہ فارغ وقت نہیں ہے
"as you know, i don’t have much free time",میں حسد کرتا تھا
i was jealous,ہم نے کچھ پایا
we found something,کیا آپ مجھے بتائیں گے
wont you tell me,یہ اچھی طرح سے نکلا
it turned out well,ابھی تک نہ جائیں
dont go yet,زین گھوڑے پسند کرتا تھا
zain liked horses,کیا آپ کے پاس کوئی مفت جدول ہے
do you have any free tables,جہاں آپ کی ماں
wheres your mother,وہ بہادر ہے
he is heroic,زین کو کچھ نہیں ملا
zain found nothing,مجھے بہتان لگایا گیا ہے
i have been slandered,پانی گرم تھا
the water was warm,اس نے اس کے لئے بات کی
she spoke up for him,زین بہت بوڑھا لگ رہا تھا
zain looked very old,میں صرف گنے کی چینی استعمال کرتا ہوں
i only use cane sugar,وہ بہت پرجوش تھا
he was very excited,وہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔
the house fell down one week later,ٹام کچھ کہنے والا تھا
tom was about to say something,اس نے اپنی آنکھیں رگڑی
she rubbed her eyes,اب مجھے برا لگتا ہے
now i feel bad,کاش میں روتا نہ ہوتا
i wish i hadnt cried,میں نے اسے بچا لیا
i rescued him,وہ پاگل ہیں
they are crazy,اس نے ایک لمبی زندگی گزاری۔
he lived a long life,دودھ کھٹا ہو گیا
the milk turned sour,کھانا لانا
bring food,وہ ایک متعصب ہے
he is a bigot,یہ صرف ایک خواب تھا
it was only a dream,اس کی حد تک
its to the point,مجھے یقین ہے کہ زین ٹھیک ہے
i am sure zains fine,زین مضبوط ہے
zain is strong,میں ٹھیک ہوں
i am okay,اس نے ٹوپی پہن رکھی ہے
he is wearing a hat,یہ بہت پیارا ہے
thats very sweet,میں ٹینس میں اچھا ہوں
i am good at tennis,زین کو بہت کچھ کرنا تھا
zain had a lot to do,زین سادہ نہیں ہے
zain isnt naive,ميں ٹھيک ہوں
i am well,میں آپ کے بارے میں بات کر رہا ہوں
i am talking about you,اگر آپ مجھ سے بات نہیں کرتے تو اپنے ماہر نفسیات سے بات کریں
"if you don’t talk to me, talk to your psychologist",وہ قدیم چیزوں سے محبت کرتی ہے
she loves antiques,آپ قیدی ہیں
you are a prisoner,اس کی کان نہیں اس کی
its mine not hers,کتنی شرم کی بات ہے
what a shame,جہاز چھوڑنا
abandon ship,آپ کہاں رہے ہیں
where have you been,وہ پہلے ہی شروع کر چکا ہے
he has already begun,میں نے تم سے جھوٹ نہیں بولا ہے
i havent lied to you,آپ کے لئے ایک پیغام ہے
there is a message for you,میں نے آپ کو ایک رات کا کھانا واجب الادا ہے
i owe you a dinner,مچھلیاں سمندر میں رہتی ہیں
fish live in the sea,اکیلے جا رہے تھے
were going alone,میں ایک ہی کشتی میں ہوں
i am in the same boat,یہ مجھے ڈراتا ہے
it scares me,یہاں بھی زین ہے
is zain here too,مجھے تنہا رہنا پسند تھا۔
i had like to be alone,وہ ایک کار چلا سکتے ہیں
she can drive a car,میں اس کا استعمال کیسے کروں
how do i use this,میں یہاں خوش آمدید ہوں
am i welcome here,میں نے لفظ غلط لکھا
i misspelled the word,کیا یہ دھندلا ہے
is it foggy,شاید یہ برف باری ہو جائے گا
maybe it will snow,یہ میری کتاب ہونی چاہیے
that must be my book,یہ کافی نہیں ہے
this is not enough,جنگل اندھیرا تھا
the forest was dark,کیا میں آپ کی میز استعمال کر سکتا ہوں
could i use your desk,کسی کو قیادت کرنی چاہئے
someone must lead,میں نے اپنا امتحان ناکام کر دیا
i failed my exam,کچھ کھیلنے دیتا ہے
lets play something,وہ وہاں کھڑے تھے
they stood there,مجھے پسند ہے
i like it,چیک اچھال گیا
the check bounced,یہ کتاب اس کی ہے
this book is hers,میٹھے میں کیا ہے
what is in the dessert,یہ کوئی پیشن گوئی نہیں ہے
it isnt a prophecy,میں نے ایک عجیب ای میل مل گیا
i got a weird email,زین غصے میں آ جائے گا
zain will be furious,یہ سیاہی بہترین ہے
this ink is the best,زین نے بہادری سے گھبرایا
zain grimaced bravely,کیا کوئی ٹائم ٹیبل ہے
is there a timetable,پانی ابالیں
boil the water,قریب ہو رہے تھے
were getting closer,کاش وہ یہاں ہوتا
i wish he were here,میں مزید کر سکتا ہوں
i can do more,وہ ایک اچھا جھوٹا ہے
he is a good liar,گھیر لیا گیا
were surrounded,اس پر ہنسنا نہیں
dont laugh at him,آپ نے یہ کیسے دیکھا
how did you see that,براہ مہربانی مت بھولیں
please do not forget,ہم خدا پر یقین رکھتے ہیں
we believe in god,کافی نشے میں تھے
were quite drunk,مریم کے ساتھ زین تھا
was zain with mary,جہاں بس اسٹاپ
wheres the bus stop,میں سارا دن انتظار نہیں کر سکتا
i cant wait all day,وہ خوش قسمت ہے
she is lucky,مجھے آدھا گھنٹہ مل گیا ہے
i have got half an hour,کوئی بھی کامل نہیں ہے
no one is perfect,براہ مہربانی پریشان نہ ہوں
please dont bother,ہم صرف گھر جا سکتے ہیں
cant we just go home,میں ایک کتاب پڑھ رہا ہوں
i am reading a book,جاؤ اور ایک نظر ڈالو
go and have a look,وقت سے باہر تھے
were out of time,زین بہت ناپختہ ہے
zain is very immature,تمہیں یاد ہے
are you there,زین ایسا مورون ہے
zain is such a moron,اس کے پاس کوئی بھی نہیں تھا جس کے پاس وہ جاتی۔
she had no one to turn to,اتنا پیکی ہونا بند کریں
stop being so picky,ہم ٹام چاہتے ہیں
we want tom,مجھے ڈاکٹر پسند نہیں ہیں
i dont like doctors,آپ نے
why did you stop,مجھے وہ ٹائی پسند ہے
i like that tie,کوئی نہیں چھوڑا
no one left,کیا آپ یہاں بور ہیں
are you bored here,مجھے دکھائیں!
show me,میں واقعی ایک بیئر چاہتے ہیں
i really want a beer,ہمیں کچھ بتائیں
tell us something,مریم ہنس پڑی
mary giggled,زین ایسا کیسے کرتا ہے
how does zain do that,اداسی کا اظہار کرنا میری فطرت نہیں ہے
it’s not my nature to express sadness,آپ کو آرام کرنے کی ضرورت ہے
you need to rest,ٹام کو متنبہ کریں
warn tom,میں ہوش کھو بیٹھا
i lost consciousness,لوگ بوسہ کیوں لیتے ہیں
why do people kiss,زین پھر کھو گیا
zain lost again,زین کیوں نہیں سو رہا ہے
why isnt zain asleep,وہ نازک ہے
he is delicate,مجھے پانچ بجے جگادو
wake me up at five o clock,میں اپنی زندگی کے لئے بھاگا
i ran for my life,ہم نے ٹام کو ڈھونڈ لیا
weve found tom,ہم دوبارہ ملیں گے
we will meet again,زین مریم کو دیکھ رہا ہے
zain is watching mary,باپ کہاں ہے
where is father,کیا آپ اس سے لطف اندوز ہوئے
did you enjoy that,مریم چیخ
mary shrieked,مجھے کتے بہت پسند ہیں
i like dogs very much,میں آپ کے لئے اسے تبدیل کرنے دو
let me change it for you,ہم اندر کیوں نہیں جاتے
why dont we go in,ہم مل کر کام کرتے ہیں
we work together,زان صحت مند
zains healthy,میں بہت جلد جاگ جاتا ہوں
i wake up very early,وہ بہت کچھ پڑھتا ہے
he reads a great deal,کتنا وحشیانہ
how barbaric,ٹام کو ووٹ دیں
vote for tom,سوپ میں جھینگا ہے
is that shrimp in the soup,زین کافی شرمیلا ہے
zain is quite shy,میرے جیسے لوگ
people like me,میں نے آپ کو ناشتہ بنایا
i made you breakfast,میں بیئر نہیں پیتا
i dont drink beer,وہ خوش ہو گئی
she became happy,میں بہت خوش تھا
i was very happy,زین کو چوٹ لگی
zain was hurt,مجھے پیس میکر مل گیا ہے
i have got a pacemaker,کیا آپ نے ٹام پر یقین کیا
did you believe tom,دس سال قبل ان کا انتقال ہو گیا۔
he died ten years ago,میں جلدی سے گھر گیا
i hurried home,کیا معاملہ ہے
what is the matter,وہ اب بھی اس سے محبت کرتی ہے
she still loves him,ہر کوئی ہچکچاتا تھا
everyone hesitated,یہ بہت مزہ تھا
that was so much fun,Here are the tickets.
here are the tickets,تم بے غرض نہیں ہو، کیا تم ہو
"you are not unselfish, are you",زین اس کا بھائی ہے
zain is his brother,کیا آپ کو پسند آیا
did you like that,یہ مضحکہ خیز ہے
thats funny,وہ مرغی ہے
he is henpecked,مجھے یہ محبت کا گانا پسند ہے
i like this love song,میں آپ کو واپس کال کرتا ہوں
let me call you back,مرد کبھی نہیں روتے
men never cry,میرا کوئی بہن بھائی نہیں ہے
i have no siblings,جو روٹی کھاتے تھے
who ate the bread,میں خود کروں گا
i will do it myself,تم خوبصورت ہو
you are pretty,اس نے ایک نئی نوکرانی رکھ لی۔
he employed a new maid,ہمارا منصوبہ ناکام ہو گیا
our project failed,یہ آسان تھا
it was simple,چپ
quiet down,کیا آپ نے اسے ابھی تک فروخت کیا ہے
have you sold it yet,ایک چھوٹے پرندے نے مجھے بتایا
a little bird told me,حقائق کا موازنہ کریں
compare the facts,ہم بول نہیں رہے ہیں
we are not speaking,میں نے ایک احمق کی طرح محسوس کیا
i felt like an idiot,زین غیر دانشمند تھا
zain was indiscreet,زین تمباکو نوشی کر رہا ہے
zain is smoking,مجھے معلوم ہے
i know that,سمجھدار ہو
be sensible,جہاں آپ کا کتا
wheres your dog,اس کا متروک
its obsolete,میں اپنے بالوں کو رنگنا پسند کرتا ہوں
i like to dye my hair,بوسٹن میں خوش آمدید
welcome to boston,کچھ بھی کام نہیں کر رہا ہے
nothings working,میں نے ایک ستارہ دیکھا
i see a star,میرا مطلب اس کے برعکس تھا
i meant the opposite,زین کھانسی ہے
zain is coughing,جس کا دوست ہے
whose friend is he,شاعر نظمیں لکھتے ہیں
poets write poems,اسکول کب ختم ہوتا ہے
when is school over,ہم اپنی آنکھوں سے دیکھتے ہیں
we see with our eyes,زین کو رہنا ہے
zain has to stay,دروازہ کھلا چھوڑ دیں
leave the door open,میں بالکل تیر نہیں سکتا
i cant swim at all,مجھے لگتا ہے کہ آپ صحیح ہیں
i think you are right,مجھے بھوک لگی تھی
i was hungry,زین نے آکڈ کیا ہے
zain has ocd,میں ایسا نہیں کروں گا
i would not do that,جلدی کرنے دیتا ہے
lets hurry up,میں نے آپ کو نہیں دیکھا
i dont see you,میں چکنی جلد ہے
i have greasy skin,وہ ہمیشہ کی طرح غریب ہے
he is as poor as ever,زین بائیں ہاتھ کا ہے
zain is lefthanded,میں شراب نہیں پیتا
i dont drink alcohol,ہمارے پاس اپنی وجوہات تھیں
we had our reasons,زین کو جہاز پر آنے دیں
let zain come aboard,کاش میرے پاس کتا ہوتا
i wish i had a dog,اس میں کیا خرابی ہے
what is wrong with it,جہاز سمندر میں تھا
the ship was at sea,میں نے وہ کتاب لکھی
i wrote that book,مجھے یہ پسند نہیں آیا
i didnt like that,میرے لئے یہ کرو
do it for me,زین نے ایک بڑی جمائی دی
zain gave a big yawn,میں بھی مصروف نہیں ہوں
i am not busy either,وہ سستا لگتا تھا۔
it looked cheap,ہر کوئی نشے میں ہے
everyone is drunk,اس کے بارے میں کیا
what about this one,وہ ایک موٹر سائیکل ہے
she has a bike,اس نے آپ کو دو بار بتایا
she told you twice,وہ ایک بینک میں کام کرتی ہے
she works in a bank,میں خطرات جانتا تھا
i knew the risks,میں اب بھی ملازمت کا شکار کر رہا ہوں
i am still job hunting,زین نے اعتراف کیا
zain confessed,اس کے بارے میں وقت
its about time,یہ مجھ سے باہر ہے
its beyond me,باہر بات کرنے دیتا ہے
lets talk outside,میں بوڑھا نہیں ہوں
i am not old,کسی کو پتہ نہیں چلے گا
no one will find out,ہم نمک کے ساتھ موسم
we season with salt,کیا وہ لاہور میں رہتی ہے
does she live in lahore,میں اس کی فینسی قیمت چاہتے ہیں
i want its fancy price,میں آپ کو لے جاؤں گا
i will carry you,میں نے ہمارے لئے ایک ناشتہ بنایا
i made a snack for us,آپ کو اسے روکنا چاہئے
you should stop that,اس نے خود یہ کیا
he himself did it,اسے الزائمر ہے
he has alzheimers,یہ اب میرا ہے
it belongs to me now,میں نے اپنے وکیل کو فون کیا
i called my lawyer,مجھے کوئی چیز نہیں روک سکتی
nothing can stop me,زین کو چوٹ نہیں لگی ہے
zain isnt hurt,یہ کوئی چال نہیں
its not a trick,میں پھر آؤں
may i come again,میرے بارے میں فکر نہ کریں
dont worry about me,زان بیکار
zains useless,یہ شیر نہیں ہے
that is not a tiger,کبھی کچھ فرض نہ کریں
never assume anything,جہاں میری میز
wheres my desk,مجھے کمر کے مسائل ہیں
i have back problems,مجھے آمادہ نہ کریں
dont tempt me,زین زیادہ کچھ نہیں کرتا
zain doesnt do much,براہ مہربانی مجھے کھانا پکانے میں مدد کریں
please help me cook,آپ جلدی سیکھتے ہیں
you learn quickly,آہ کہنا
say aah,زین ایک باغبان ہے
zain is a gardener,میں خطرہ مول لوں گا
i will take the risk,اس نے انہیں کیسے بتایا
how did she tell them,میں نے ایک اچھی چھٹی تھی
i had a good holiday,وہ سیدھا میرے پاس آیا۔
he came straight up to me,ہم آپ کی مدد نہیں کر سکتے
we cant help you,زین گیا
did zain go,یہ کیسا ہے
how is it,مجھے آپ کے مشورے پر بھروسہ ہے
i trust your advice,اگر بالائی منزل ہو تو بہتر ہوگا
it will be better if there is upper floor,وہ سنترے پسند کرتا ہے
he likes oranges,میں بہت تیزی سے جا رہا ہوں
am i going too fast,کاش میں چھوٹا ہوتا
i wish i were younger,اس کا پیر
its monday,ہم پتہ چل جائے گا
we will find out,میں جغرافیہ سکھاتا ہوں
i teach geography,میں ساتھ کھیلوں گا
i will play along,mujhe tum pr yakeen hai
i am here,یہ میری غلطی ہے
thats my fault,میں نے کچھ پالک کھایا
i ate some spinach,زین میرے ساتھ تھا
zain was with me,زین نے کچھ کہا
zain said something,زین نے بہادری سے مقابلہ کیا
zain fought bravely,کیا آپ اسے دیکھنا چاہتے ہیں
do you want to see it,میں نے بلکہ گھر رہنا تھا
i had rather stay home,وہ کتابیں پڑھنے سے لطف اندوز ہوتی ہے
she enjoys reading books,میں تمام کام کرتا ہوں
i do all the work,بس اسے چیک کریں
just check it,کہ مدد نہیں کی جا سکتی
that cant be helped,مجھے ہمیشہ بھوک لگتی ہے
i always feel hungry,میں ایک ساتھی کی ضرورت ہے
i need a partner,اس کلاس میں کتنے لڑکے ہیں؟
how many boys are in this class,اسے کاٹ یں
cut that out,مجھے سیب پسند ہیں
i like apples,ٹھٹھا
lie still,وہ یہاں ہے
he is here,میں اتفاق سے اس سے ملا
i met him by chance,براہ مہربانی، مجھے مینو دکھائیں
"please, show me the menu",زین ایک ٹھنڈا کام ہے
zain has a cool job,وہ کافی سے محبت کرتا ہے
he loves coffee,ڈاکٹر کی ایک بڑی مشق ہے
the doctor has a large practice,اس کی عمر کیا ہے
what is his age,اگر تم جاؤ گے تو میں جاؤں گا
i will go if you go,میرے لئے ایک کپ چائے لے آؤ
bring me a cup of tea,زین سائیکل چلاتا ہے
zain rides a bicycle,معاف کیجئے گا میں کھو گیا ہوں
excuse me i am lost,مجھے پتہ چل گیا ہے
i have got to know,میں پارک سڑک پر ایک ریستوران کا مالک ہوں
i own a restaurant on park street,کیا تم مجھ سے ڈرتے ہو
are you afraid of me,میں متوسط طبقے کا بھی نہیں ہوں
i am not middle class even,کیا آپ نے ناشتہ کیا
did you eat breakfast,آپ کی پتلون گندی ہیں
your pants are dirty,یہ چاول ایک گھٹیا معیار کا ہے
this rice is of an inferior quality,انہیں گولی نہیں ماری جائے گی
they wont be shot,آپ کو جاگنے کی ضرورت ہے
you need to wake up,جہاں بیکری
wheres the bakery,اندازہ لگائیں کہ آج میں نے کس کو دیکھا
guess who i saw today,میں ایک بات نہیں سن سکتا
i cant hear a thing,یہ سائیکل میری ہے
this bicycle is mine,زین نے اپنی ملازمت کھو دی
zain lost his job,میں نے محتاط رہنا تھا
i had be careful,میں ہار ماننا چاہتا تھا
i wanted to give up,مجھے کہانی بتائیں
tell me the story,کیا آپ مجھے ٹام سن سکتے ہیں
can you hear me tom,ہر کوئی خوش
everybodys happy,وہ ہیضے کی وجہ سے انتقال کر گئے
he died of cholera,یہ بٹن ڈھیلا ہے
this button is loose,کیا آپ خدا کو جاننا چاہتے ہیں؟
do you want to know,میں ٹھیک محسوس کر رہا ہوں
i feel well,میں جیتنا ہے
i have to win,وہ پیر کو جرمن زبان کی تعلیم حاصل نہیں کرتی
she does not study german on monday,آپ نے ہمیں سکھایا کہ
you taught us that,میں نے اپنا بٹوہ کھو دیا ہے
i have lost my wallet,میں اس کے خلاف ہوں
i am against it,میں ایک ہیرو ہوں
i am a hero,آپ بارود ضائع کر رہے ہیں
you are wasting ammo,مزید کافی براہ مہربانی
more coffee please,زین ناقابل بھروسہ لگتا ہے
zain seems unreliable,اندر آکر بیٹھ جاؤ
come in and sit down,میں کسی کی مدد نہیں کر سکتا
i cant help anyone,آپ کا اسکول کہاں ہے
where is your school,مجھے صرف اتنا ہی درکار ہے
thats all i need,میں کھڑے ہو کر سوتا ہوں
i sleep standing up,تم وہاں کیوں گئے
why did you go there,زین جینا چاہتا تھا
zain wanted to live,آپ نے کپڑے نہیں پہنے ہیں
you are not dressed,پیشکش کے لئے شکریہ
thanks for the offer,ہم نے مختصر بات کی
we spoke briefly,مجھے ایک اور گھڑی دکھائو۔
show me another watch,میں صرف زین سے دو بار ملا
i only met zain twice,میں اپنی بکری کا دودھ پی رہا ہوں
i am milking my goat,وہ خوشی سے رقص کرتی تھی
she danced with joy,یہاں آؤ اور میری مدد کرو
come here and help me,وہ ابھی یہاں نہیں ہے
she is not here yet,اس نے اس خیال کو ترک کر دیا
he abandoned the idea,آپ کو اندر نہیں آنا چاہئے
you must not come in,وہ جلد ہی واپس آجائیں گے
they will be back soon,میں زین باپ ہوں
i am zains father,آگ واپس کرنا
return fire,ہم پہلے ہی جانتے تھے کہ
we already knew that,جیسا آپ چاہیں کریں
do as you like,تعاون کر رہے تھے
were cooperating,میں گھر جانے جا رہا ہوں
i am going to go home,گائے گھاس کھاتی ہیں
cows eat grass,اس کا خاندان کہاں ہے
where is her family,میں ٹام سے پوچھوں گا
i will go ask tom,براہ مہربانی اسے بند کریں
turn it off please,اس نے اپنا سر منڈا لیا
she shaved her head,زین ایک سست چلنے والا ہے
zain is a slow walker,آپ بہت کم عمر لگ رہے ہیں
you sound very young,زین اپنی پیٹھ پر لیٹ گیا
zain lay on his back,کیا یہ اچھی فرانسیسی ہے
is this good french,ڈاکٹر تھے
were doctors,وہ ایک جنونی ہے
he is a fanatic,میں بچوں سے محبت کرتا ہوں
i love kids,یہ ایک جھوٹا الارم تھا
it was a false alarm,زین ہمیں بچا لے گا
zain will save us,میں ہمیشہ مصروف رہتا ہوں
i am always busy,یہ بہت ہوا تھی
it was very windy,یہاں اس کی حفاظت
its safe here,مجھے بعد میں کال کریں
give me a call later,کیا تم چاہئے پیو گیا
what do you want,آپ کو اس کی ضرورت ہے
you need it,میں واحد آدمی تھا
i was the only man,اس نے مجھے ایک خط بھیجا
she sent me a letter,کل ابر آلود تھا
yesterday was cloudy,وہ پریشان ہے
she is upset,میرے جوتے لے آؤ
bring me my shoes,زین پینے کیا ہے
what is zain drinking,میں نو گھنٹے سویا
i slept nine hours,زین تیراکی کر رہا ہے
zain is swimming,وہ کہاں کام کرتا ہے
where does he work,زین چل رہا ہے
zain is running,کل صبح آؤ
come tomorrow morning,سب نے اوپر دیکھا
everybody looked up,میں ایک مصروف آدمی ہوں
i am a busy guy,میں واقعی معذرت خواہ ہوں
i really am sorry,ہم سب تیار ہیں
we all are ready,زین گیلا کیوں ہے
why is zain wet,پانڈا پیارے ہیں
pandas are cute,میں ہمیشہ ٹام سے محبت کروں گا
i will always love tom,میں کچھ چائے بناؤگا
i will make some tea,ہر کوئی شراب پی رہا تھا
everyone was drinking,پھلیاں نہ پھیلائیں
dont spill the beans,ہم سے دور رہو
stay away from us,زین کی طرف سے آیا
zain came by,کمرے سے باہر نہ نکلیں
dont leave the room,مجھے ابتدائی طبی امداد کی ضرورت ہے
i need first aid,زین کو اپنے کام سے محبت ہے
zain loves his work,تفریح شروع ہونے دیں
let the fun begin,لوگ مر رہے ہیں
people are dying,ایک اچھا سفر ہے
have a good trip,یہ محبت ہو سکتی ہے
could this be love,زین ایسا نہیں کرتا
zain doesnt do that,یہ ٹوپی مجھے خرچ
this hat cost me,سارے ڈبے خالی ہیں۔
all the boxes are empty,زین صحیح ہے
zain is right,یہ سنجیدہ نہیں تھا
it wasnt serious,کہ ٹام نہیں تھا
that wasnt tom,میں صرف انسان ہوں
i am only human,براہ مہربانی نرم رویہ اختیار کریں
please be gentle,تاش کھیل رہے تھے
were playing cards,کیا آپ نے دوپہر کا کھانا کھایا ہے
have you had lunch,وہ یہاں کیوں ہے
why is he here,میں دائیں مڑ گیا
i turned right,وہ جاپانی ہے۔
he is japanese,بلیوں نے چوہوں کو پکڑ ا
cats catch mice,مجھے میری بیئر دے دو
give me my beer,میں ٹام سے نفرت کرتا ہوں
i hate tom,اس کا جواب آسان تھا
the answer was easy,مجھے لفظ یاد ہے
i remember the word,زین کو الزائمر ہے
zain has alzheimers,باغ میں تھے
were in the garden,دروازہ بند تھا
was the door locked,وہ آپ سے ملنا چاہتا تھا
he wanted to meet you,اس نے کسی کو نہیں دیکھا
he didnt see anybody,یہ پھٹا ہوا ہے
it’s torn,مجھے کافی بھوک لگی ہے
i am quite hungry,کچھ بھی
anything,یہ کوئی مذاق نہیں ہے
this is not a joke,سیسہ آسانی سے جھکا ہوا ہے
lead is easily bent,تم پر شرم کی بات ہے
shame on you,ایک ناشتے کے بارے میں کیا
how about a snack,وہ مشکل سے چل سکتا ہے
he can hardly walk,وہ منظور نہیں کرے گا
he will not approve,ہم چڑیا گھر گئے
we went to the zoo,زین میرا ساتھی ہے
zain is my colleague,یہ چینی نہیں ہے
this isnt sugar,زین مریم کو ڈیٹ کر رہا ہے
zain is dating mary,زین گونگا تھا
zain was dumbstruck,درد چلا گیا ہے
the pain has gone,اس کی بہت صاف
its very clean,اس نے اپنا وعدہ پورا کیا
he kept his word,میرے کمرے میں نہ جاؤ
dont go in my room,ہمارے پاس چینی نہیں ہے
we have no sugar,وہ مصروف نظر آتے ہیں
they seem busy,میں اب شروع کرنا چاہتے ہیں
i want to start now,میں آپ کے ساتھ نہیں جا سکتا
i cant go with you,کیا وہ ابھی تک یہاں ہے
is she here yet,یہ غیر متوقع تھا
that was unexpected,کابینہ مستعفی
the cabinet resigned,کوئی بھی زندہ نہیں رہے گا
no one will survive,آپ کس طرح کی یقین دہانی کرا سکتے ہیں
what sort of assurance can you provide,مکڑیاں مجھے ڈراتی ہیں
spiders scare me,میں نے رات کا کھانا بنایا
i made dinner,میری سائیکل کی مرمت کی ضرورت ہے
my bicycle is in need of repair,زین سورہے ہیں
zains asleep,زین کنوارا ہے
zain is a bachelor,میں نے بس کا پیچھا کیا
i followed the bus,یہ ٹومز تھا
it was toms,اسے اوپر کریں
turn it up,میں اپنی ماں کے پاس بھاگا
i ran to my mother,زین کو آرام کرنے کو کہیں
tell zain to relax,کیا آپ کو جاری رکھتا ہے
what keeps you going,اس کے رات کے کھانے کا وقت تیار ہو جاؤ
its dinner time get ready,وہ ایک جڑواں ہے
she is a twin,وہ ہفتے کے آخر میں اپنے منصوبوں کے بارے میں بات کرتے ہیں
they talk about their plans for the weekend,آپ کا خیر مقدم کیا جاتا ہے
you are welcomed,کیا آپ اس کے ساتھ سبزیاں چاہتے ہیں
do you want vegetables with it,وہ اس کا مستحق تھا
he deserved it,دیکھو کیا ہوا
look what happened,میں نے ایک بڑی غلطی کی
i made a big mistake,معلومات کیلئے شکریہ
thanks for the info,زین کو معافی مانگنی چاہئے
zain should apologize,تم پکا اب ناز نہیں ہو نا
i feel very guilty,ہم اچھے دوست ہیں
we are good friends,وہ آسانی سے غصہ ہو جاتا ہے
he easily gets angry,مجھے مہجونگ پسند ہے
i like mahjong,زین نے آنکھ ماری
zain winked,میں نے اسے سیڑھیوں پر دوڑتے ہوئے دیکھا
i saw him running up the stairs,تم لوگ بیوقوف ہو
you guys are idiots,مجھے لگتا ہے کہ زین یہ پسند آیا
